Date,BitCoin,Gold,Flag,Delta_BitCoin,Delta_Gold
11-05-2016,704.79,1302.8,0,21.09999999999991,0.0
11-06-2016,712.0,1302.8,0,7.210000000000036,0.0
11-07-2016,709.96,1283.05,1,-2.0399999999999636,-19.75
11-08-2016,708.97,1282.35,1,-0.9900000000000091,-0.7000000000000455
11-09-2016,720.93,1281.4,1,11.959999999999923,-0.9499999999998181
11-10-2016,721.5,1267.5,1,0.57000000000005,-13.900000000000091
11-11-2016,715.45,1236.45,1,-6.0499999999999545,-31.049999999999955
11-12-2016,703.71,1236.45,0,-11.740000000000009,0.0
11-13-2016,702.28,1236.45,0,-1.4300000000000637,0.0
11-14-2016,706.46,1213.6,1,4.180000000000064,-22.850000000000136
11-15-2016,710.91,1226.95,1,4.449999999999932,13.350000000000136
11-16-2016,711.73,1229.2,1,0.82000000000005,2.25
11-17-2016,736.96,1226.75,1,25.230000000000018,-2.4500000000000455
11-18-2016,747.52,1211.0,1,10.559999999999945,-15.75
11-19-2016,748.98,1211.0,0,1.4600000000000364,0.0
11-20-2016,729.06,1211.0,0,-19.920000000000073,0.0
11-21-2016,738.53,1214.25,1,9.470000000000027,3.25
11-22-2016,736.97,1212.25,1,-1.5599999999999454,-2.0
11-23-2016,741.63,1185.35,1,4.659999999999968,-26.90000000000009
11-24-2016,737.45,1186.1,1,-4.17999999999995,0.75
11-25-2016,735.64,1187.7,1,-1.8100000000000591,1.6000000000001364
11-26-2016,733.67,1187.7,0,-1.9700000000000273,0.0
11-27-2016,727.96,1187.7,0,-5.709999999999923,0.0
11-28-2016,727.31,1187.0,1,-0.650000000000091,-0.7000000000000455
11-29-2016,732.71,1186.55,1,5.400000000000091,-0.4500000000000455
11-30-2016,742.69,1178.1,1,9.980000000000018,-8.450000000000045
12-01-2016,742.05,1161.85,1,-0.6400000000001,-16.25
12-02-2016,772.43,1173.5,1,30.379999999999995,11.650000000000091
12-03-2016,764.33,1173.5,0,-8.099999999999909,0.0
12-04-2016,762.97,1173.5,0,-1.3600000000000136,0.0
12-05-2016,754.63,1162.2,1,-8.340000000000032,-11.299999999999955
12-06-2016,756.62,1172.5,1,1.990000000000009,10.299999999999955
12-07-2016,758.99,1177.65,1,2.3700000000000045,5.150000000000091
12-08-2016,769.72,1171.05,1,10.730000000000018,-6.600000000000136
12-09-2016,770.02,1163.6,1,0.2999999999999545,-7.4500000000000455
12-10-2016,769.08,1163.6,0,-0.9399999999999409,0.0
12-11-2016,777.0,1163.6,0,7.919999999999959,0.0
12-12-2016,777.0,1156.1,1,0.0,-7.5
12-13-2016,777.99,1158.55,1,0.9900000000000091,2.4500000000000455
12-14-2016,774.89,1162.25,1,-3.1000000000000227,3.7000000000000455
12-15-2016,776.75,1126.95,1,1.8600000000000136,-35.299999999999955
12-16-2016,775.88,1131.6,1,-0.8700000000000045,4.649999999999864
12-17-2016,788.7,1131.6,0,12.82000000000005,0.0
12-18-2016,788.4,1131.6,0,-0.3000000000000682,0.0
12-19-2016,788.67,1136.25,1,0.2699999999999818,4.650000000000091
12-20-2016,793.09,1125.7,1,4.420000000000073,-10.549999999999955
12-21-2016,824.21,1133.65,1,31.120000000000005,7.9500000000000455
12-22-2016,834.97,1131.35,1,10.759999999999991,-2.300000000000182
12-23-2016,901.31,1131.35,0,66.33999999999992,0.0
12-24-2016,891.61,1131.35,0,-9.699999999999932,0.0
12-25-2016,892.6,1131.35,0,0.9900000000000091,0.0
12-26-2016,897.33,1131.35,0,4.730000000000018,0.0
12-27-2016,930.37,1131.35,0,33.039999999999964,0.0
12-28-2016,930.34,1134.6,1,-0.029999999999972715,3.25
12-29-2016,963.38,1145.9,1,33.039999999999964,11.300000000000182
12-30-2016,952.15,1145.9,0,-11.230000000000018,0.0
12-31-2016,958.12,1145.9,0,5.970000000000027,0.0
01-01-2017,997.72,1145.9,0,39.60000000000002,0.0
01-02-2017,1015.97,1145.9,0,18.25,0.0
01-03-2017,1013.42,1151.0,1,-2.550000000000068,5.099999999999909
01-04-2017,1126.76,1164.25,1,113.34000000000003,13.25
01-05-2017,994.67,1176.7,1,-132.09000000000003,12.450000000000045
01-06-2017,999.65,1175.85,1,4.980000000000018,-0.8500000000001364
01-07-2017,896.83,1175.85,0,-102.81999999999994,0.0
01-08-2017,908.14,1175.85,0,11.309999999999945,0.0
01-09-2017,910.49,1178.5,1,2.3500000000000227,2.650000000000091
01-10-2017,906.05,1189.5,1,-4.440000000000055,11.0
01-11-2017,785.22,1178.55,1,-120.82999999999993,-10.950000000000045
01-12-2017,780.92,1205.05,1,-4.300000000000068,26.5
01-13-2017,826.29,1190.35,1,45.370000000000005,-14.700000000000045
01-14-2017,817.91,1190.35,0,-8.379999999999995,0.0
01-15-2017,819.55,1190.35,0,1.6399999999999864,0.0
01-16-2017,830.5,1203.0,1,10.950000000000045,12.650000000000091
01-17-2017,903.84,1216.05,1,73.34000000000003,13.049999999999955
01-18-2017,906.6,1214.75,1,2.759999999999991,-1.2999999999999545
01-19-2017,895.798875,1196.05,1,-10.80112500000007,-18.700000000000045
01-20-2017,893.6210875,1200.55,1,-2.1777874999999085,4.5
01-21-2017,895.64,1200.55,0,2.018912499999942,0.0
01-22-2017,918.603625,1200.55,0,22.96362499999998,0.0
01-23-2017,922.0736125,1212.85,1,3.469987500000002,12.299999999999955
01-24-2017,919.97,1216.8,1,-2.10361249999994,3.9500000000000455
01-25-2017,893.045625,1195.0,1,-26.924375000000055,-21.799999999999955
01-26-2017,915.95625,1189.7,1,22.910624999999982,-5.2999999999999545
01-27-2017,915.05,1184.85,1,-0.90625,-4.850000000000136
01-28-2017,920.31225,1184.85,0,5.2622499999999945,0.0
01-29-2017,915.933,1184.85,0,-4.379249999999956,0.0
01-30-2017,912.19,1192.8,1,-3.742999999999938,7.9500000000000455
01-31-2017,964.706075,1212.8,1,52.516075,20.0
02-01-2017,979.703875,1203.65,1,14.997799999999984,-9.149999999999864
02-02-2017,983.42,1221.95,1,3.71612499999992,18.299999999999955
02-03-2017,1013.027,1215.2,1,29.607000000000085,-6.75
02-04-2017,1030.999413,1215.2,0,17.97241299999996,0.0
02-05-2017,1034.07,1215.2,0,3.0705869999999322,0.0
02-06-2017,1024.01375,1226.75,1,-10.056249999999864,11.549999999999955
02-07-2017,1050.11,1231.0,1,26.096249999999827,4.25
02-08-2017,1052.84,1242.1,1,2.730000000000018,11.099999999999909
02-09-2017,976.103,1236.8,1,-76.73699999999997,-5.2999999999999545
02-10-2017,999.1035,1228.3,1,23.000500000000102,-8.5
02-11-2017,997.59,1228.3,0,-1.5135000000000218,0.0
02-12-2017,1000.604625,1228.3,0,3.0146250000000236,0.0
02-13-2017,999.877375,1222.25,1,-0.7272500000000264,-6.0499999999999545
02-14-2017,1001.2,1230.75,1,1.3226250000000164,8.5
02-15-2017,1012.325988,1224.4,1,11.125988000000007,-6.349999999999909
02-16-2017,1035.208125,1240.55,1,22.882137000000057,16.149999999999864
02-17-2017,1035.2,1241.95,1,-0.008125000000063665,1.400000000000091
02-18-2017,1056.637138,1241.95,0,21.437138000000004,0.0
02-19-2017,1052.779286,1241.95,0,-3.8578520000000935,0.0
02-20-2017,1050.87,1237.3,1,-1.9092860000000655,-4.650000000000091
02-21-2017,1123.788429,1233.2,1,72.91842900000006,-4.099999999999909
02-22-2017,1123.2231880000004,1236.65,1,-0.5652409999995598,3.4500000000000455
02-23-2017,1130.01,1247.9,1,6.7868119999996,11.25
02-24-2017,1174.86625,1253.65,1,44.856250000000045,5.75
02-25-2017,1150.605714,1253.65,0,-24.260536000000002,0.0
02-26-2017,1150.37,1253.65,0,-0.23571400000014364,0.0
02-27-2017,1190.75195,1257.2,1,40.38195000000019,3.5499999999999545
02-28-2017,1187.565286,1255.6,1,-3.1866640000000643,-1.6000000000001364
03-01-2017,1190.89,1240.4,1,3.3247140000000854,-15.199999999999818
03-02-2017,1259.410817,1238.1,1,68.52081699999985,-2.300000000000182
03-03-2017,1285.14,1226.5,1,25.72918300000015,-11.599999999999909
03-04-2017,1287.0,1226.5,0,1.8599999999999,0.0
03-05-2017,1270.9333,1226.5,0,-16.066700000000083,0.0
03-06-2017,1275.197375,1230.95,1,4.264075000000048,4.4500000000000455
03-07-2017,1279.5,1216.65,1,4.302625000000035,-14.299999999999955
03-08-2017,1157.3933,1209.2,1,-122.10670000000005,-7.4500000000000455
03-09-2017,1192.469143,1206.55,1,35.07584300000008,-2.650000000000091
03-10-2017,1192.09,1202.65,1,-0.3791430000001128,-3.8999999999998636
03-11-2017,1179.159875,1202.65,0,-12.930124999999862,0.0
03-12-2017,1227.494625,1202.65,0,48.334749999999985,0.0
03-13-2017,1227.68,1204.2,1,0.18537500000002183,1.5499999999999545
03-14-2017,1245.370786,1204.6,1,17.69078599999989,0.3999999999998636
03-15-2017,1257.399625,1198.8,1,12.028839000000062,-5.7999999999999545
03-16-2017,1257.0,1229.35,1,-0.39962500000001455,30.549999999999955
03-17-2017,1091.171888,1229.6,1,-165.82811199999992,0.25
03-18-2017,952.2323625,1229.6,0,-138.93952550000006,0.0
03-19-2017,967.69,1229.6,0,15.457637500000033,0.0
03-20-2017,1049.0844880000002,1232.4,1,81.39448800000014,2.800000000000182
03-21-2017,1118.630043,1241.6,1,69.5455549999997,9.199999999999818
03-22-2017,1113.0,1249.05,1,-5.630042999999887,7.4500000000000455
03-23-2017,1038.789,1247.5,1,-74.21100000000001,-1.5499999999999545
03-24-2017,941.9197143,1247.5,1,-96.86928569999998,0.0
03-25-2017,927.93,1247.5,0,-13.98971430000006,0.0
03-26-2017,956.7863125,1247.5,0,28.856312500000058,0.0
03-27-2017,1037.22925,1257.55,1,80.44293750000008,10.049999999999955
03-28-2017,1041.04,1257.25,1,3.810749999999871,-0.2999999999999545
03-29-2017,1040.5755,1251.1,1,-0.46450000000004366,-6.150000000000091
03-30-2017,1037.90455,1248.8,1,-2.670949999999948,-2.2999999999999545
03-31-2017,1034.74,1244.85,1,-3.164549999999963,-3.9500000000000455
04-01-2017,1086.929571,1244.85,0,52.18957099999989,0.0
04-02-2017,1099.169125,1244.85,0,12.239553999999998,0.0
04-03-2017,1079.99,1247.25,1,-19.179124999999885,2.400000000000091
04-04-2017,1141.600363,1257.65,1,61.61036300000001,10.400000000000091
04-05-2017,1133.079314,1245.8,1,-8.521048999999948,-11.850000000000136
04-06-2017,1133.53,1252.5,1,0.4506859999999051,6.7000000000000455
04-07-2017,1190.45425,1266.45,1,56.92425000000003,13.950000000000045
04-08-2017,1181.149838,1266.45,0,-9.304411999999957,0.0
04-09-2017,1184.03,1266.45,0,2.8801619999999275,0.0
04-10-2017,1207.744875,1250.05,1,23.71487500000012,-16.40000000000009
04-11-2017,1226.617038,1252.9,1,18.872163,2.8500000000001364
04-12-2017,1219.09,1274.3,1,-7.527038000000175,21.399999999999864
04-13-2017,1180.023713,1284.15,1,-39.066286999999875,9.850000000000136
04-14-2017,1185.260057,1284.15,0,5.236343999999917,0.0
04-15-2017,1170.36,1284.15,0,-14.90005700000006,0.0
04-16-2017,1186.927413,1284.15,0,16.567412999999988,0.0
04-17-2017,1205.634875,1284.15,0,18.707462000000078,0.0
04-18-2017,1176.97,1278.95,1,-28.664874999999938,-5.2000000000000455
04-19-2017,1217.930088,1279.05,1,40.96008800000004,0.09999999999990905
04-20-2017,1241.686325,1282.1,1,23.756236999999828,3.0499999999999545
04-21-2017,1236.63,1281.85,1,-5.056324999999788,-0.25
04-22-2017,1261.311225,1281.85,0,24.681224999999813,0.0
04-23-2017,1257.988113,1281.85,0,-3.32311199999981,0.0
04-24-2017,1240.84,1269.4,1,-17.148113000000194,-12.449999999999818
04-25-2017,1279.414688,1267.8,1,38.57468800000015,-1.6000000000001364
04-26-2017,1309.109875,1261.85,1,29.695187000000033,-5.9500000000000455
04-27-2017,1288.02,1262.8,1,-21.08987500000012,0.9500000000000455
04-28-2017,1331.2944289999996,1266.45,1,43.2744289999996,3.650000000000091
04-29-2017,1334.9790380000004,1266.45,0,3.684609000000819,0.0
04-30-2017,1333.0,1266.45,0,-1.9790380000004006,0.0
05-01-2017,1417.172813,1266.45,0,84.1728129999999,0.0
05-02-2017,1452.076288,1255.45,1,34.90347500000007,-11.0
05-03-2017,1447.55,1250.3,1,-4.526288000000022,-5.150000000000091
05-04-2017,1508.292125,1228.45,1,60.74212499999999,-21.84999999999991
05-05-2017,1533.3350710000002,1228.05,1,25.042946000000256,-0.40000000000009095
05-06-2017,1518.75,1228.05,0,-14.585071000000198,0.0
05-07-2017,1535.868429,1228.05,0,17.118429000000106,0.0
05-08-2017,1640.619225,1229.8,1,104.75079599999981,1.75
05-09-2017,1651.1,1220.4,1,10.480774999999994,-9.399999999999864
05-10-2017,1762.88625,1222.95,1,111.78625000000011,2.5499999999999545
05-11-2017,1820.990563,1223.15,1,58.10431300000005,0.20000000000004547
05-12-2017,1829.0,1231.25,1,8.009436999999934,8.099999999999909
05-13-2017,1771.920013,1231.25,0,-57.079987000000074,0.0
05-14-2017,1776.3165,1231.25,0,4.396486999999979,0.0
05-15-2017,1780.0,1233.3,1,3.6835000000000946,2.0499999999999545
05-16-2017,1739.031975,1234.2,1,-40.9680249999999,0.900000000000091
05-17-2017,1807.485063,1257.4,1,68.45308799999998,23.200000000000045
05-18-2017,1783.98,1255.9,1,-23.505063000000064,-1.5
05-19-2017,1961.520488,1252.0,1,177.54048799999987,-3.900000000000091
05-20-2017,2052.909788,1252.0,0,91.38930000000005,0.0
05-21-2017,2008.84,1252.0,0,-44.06978800000002,0.0
05-22-2017,2090.662313,1258.85,1,81.8223129999999,6.849999999999909
05-23-2017,2287.710288,1260.2,1,197.0479750000004,1.3500000000001364
05-24-2017,2256.32,1252.55,1,-31.390288000000055,-7.650000000000091
05-25-2017,2387.206286,1256.95,1,130.88628599999993,4.400000000000091
05-26-2017,2211.976857,1265.05,1,-175.22942899999998,8.099999999999909
05-27-2017,2279.82,1265.05,0,67.84314300000005,0.0
05-28-2017,2192.9808,1265.05,0,-86.83920000000035,0.0
05-29-2017,2275.9307,1265.05,0,82.94990000000007,0.0
05-30-2017,2290.02,1262.7,1,14.089300000000094,-2.349999999999909
05-31-2017,2285.933914,1266.2,1,-4.086085999999796,3.5
06-01-2017,2399.242671,1264.85,1,113.30875699999979,-1.3500000000001364
06-02-2017,2409.93,1274.95,1,10.687328999999863,10.100000000000136
06-03-2017,2525.765158,1274.95,0,115.83515800000032,0.0
06-04-2017,2516.173143,1274.95,0,-9.592015000000174,0.0
06-05-2017,2529.53,1279.95,1,13.356857000000218,5.0
06-06-2017,2883.313697,1293.5,1,353.78369699999985,13.549999999999955
06-07-2017,2664.920863,1291.0,1,-218.39283400000022,-2.5
06-08-2017,2683.03,1273.1,1,18.109137000000374,-17.90000000000009
06-09-2017,2827.4913,1266.55,1,144.46129999999994,-6.5499999999999545
06-10-2017,2845.372857,1266.55,0,17.881556999999702,0.0
06-11-2017,2898.63,1266.55,0,53.25714300000027,0.0
06-12-2017,2657.675063,1266.4,1,-240.95493699999997,-0.14999999999986358
06-13-2017,2748.185086,1262.0,1,90.51002299999982,-4.400000000000091
06-14-2017,2706.0,1275.5,1,-42.185085999999956,13.5
06-15-2017,2442.48025,1254.55,1,-263.51974999999993,-20.950000000000045
06-16-2017,2464.9598140000007,1255.4,1,22.479564000000664,0.8500000000001364
06-17-2017,2477.94,1255.4,0,12.980185999999321,0.0
06-18-2017,2507.389252,1255.4,0,29.449251999999888,0.0
06-19-2017,2617.210263,1248.15,1,109.821011,-7.25
06-20-2017,2600.0,1242.2,1,-17.21026299999994,-5.9500000000000455
06-21-2017,2671.04325,1242.5,1,71.04325000000017,0.2999999999999545
06-22-2017,2727.288013,1250.8,1,56.24476299999969,8.299999999999955
06-23-2017,2713.48,1255.7,1,-13.808012999999846,4.900000000000091
06-24-2017,2589.164888,1255.7,0,-124.31511200000023,0.0
06-25-2017,2512.366286,1255.7,0,-76.79860199999985,0.0
06-26-2017,2502.03,1245.25,1,-10.336285999999745,-10.450000000000045
06-27-2017,2517.903114,1249.55,1,15.873113999999987,4.2999999999999545
06-28-2017,2585.349186,1248.0,1,67.44607199999973,-1.5499999999999545
06-29-2017,2558.3,1243.5,1,-27.049185999999736,-4.5
06-30-2017,2477.641375,1242.25,1,-80.65862500000003,-1.25
07-01-2017,2501.191343,1242.25,0,23.549967999999808,0.0
07-02-2017,2421.26,1242.25,0,-79.93134299999974,0.0
07-03-2017,2561.225429,1229.25,1,139.96542899999986,-13.0
07-04-2017,2599.729838,1223.75,1,38.50440900000012,-5.5
07-05-2017,2598.89,1220.3,1,-0.8398380000003272,-3.4500000000000455
07-06-2017,2609.96775,1224.9,1,11.077749999999924,4.600000000000136
07-07-2017,2491.201214,1215.65,1,-118.76653599999963,-9.25
07-08-2017,2502.86,1215.65,0,11.658785999999964,0.0
07-09-2017,2536.238938,1215.65,0,33.378937999999835,0.0
07-10-2017,2366.170143,1211.9,1,-170.06879500000014,-3.75
07-11-2017,2327.09,1211.05,1,-39.08014299999968,-0.8500000000001364
07-12-2017,2385.748571,1218.8,1,58.65857099999994,7.75
07-13-2017,2354.783417,1218.9,1,-30.965153999999984,0.10000000000013642
07-14-2017,2338.49,1230.3,1,-16.293417000000318,11.399999999999864
07-15-2017,2058.9956,1230.3,0,-279.4943999999996,0.0
07-16-2017,1931.2143,1230.3,0,-127.7813000000001,0.0
07-17-2017,1910.96,1234.1,1,-20.254300000000057,3.7999999999999545
07-18-2017,2320.12225,1240.75,1,409.16224999999986,6.650000000000091
07-19-2017,2264.7657,1242.15,1,-55.35654999999997,1.400000000000091
07-20-2017,2265.21,1238.7,1,0.44430000000011205,-3.4500000000000455
07-21-2017,2682.195363,1248.55,1,416.9853629999998,9.849999999999909
07-22-2017,2807.609857,1248.55,0,125.4144940000001,0.0
07-23-2017,2825.51,1248.55,0,17.9001430000003,0.0
07-24-2017,2751.821029,1255.55,1,-73.68897100000004,7.0
07-25-2017,2560.997917,1254.4,1,-190.82311200000004,-1.1499999999998636
07-26-2017,2564.3,1248.1,1,3.3020830000000387,-6.300000000000182
07-27-2017,2647.625,1261.1,1,83.32499999999982,13.0
07-28-2017,2781.636583,1264.9,1,134.01158299999997,3.800000000000182
07-29-2017,2784.8,1264.9,0,3.1634170000002086,0.0
07-30-2017,2745.955417,1264.9,0,-38.84458300000006,0.0
07-31-2017,2866.431667000001,1267.55,1,120.47625000000107,2.6499999999998636
08-01-2017,2862.9,1270.95,1,-3.5316670000011072,3.400000000000091
08-02-2017,2693.633983,1269.6,1,-169.26601699999992,-1.3500000000001364
08-03-2017,2794.117717,1268.1,1,100.48373399999991,-1.5
08-04-2017,2790.0,1257.7,1,-4.117717000000084,-10.399999999999864
08-05-2017,3218.115017,1257.7,0,428.1150170000001,0.0
08-06-2017,3252.562533,1257.7,0,34.44751599999972,0.0
08-07-2017,3210.2,1258.0,1,-42.362532999999985,0.2999999999999545
08-08-2017,3457.374333,1261.8,1,247.1743330000004,3.7999999999999545
08-09-2017,3357.326317,1271.05,1,-100.04801600000019,9.25
08-10-2017,3340.28,1284.4,1,-17.046316999999817,13.350000000000136
08-11-2017,3632.506667,1286.1,1,292.2266669999999,1.699999999999818
08-12-2017,3852.802914,1286.1,0,220.29624699999977,0.0
08-13-2017,3868.52,1286.1,0,15.717086000000108,0.0
08-14-2017,4282.992,1282.3,1,414.4720000000002,-3.7999999999999545
08-15-2017,4217.028329,1270.3,1,-65.96367100000043,-12.0
08-16-2017,4179.97,1272.75,1,-37.0583289999995,2.4500000000000455
08-17-2017,4328.725717,1285.15,1,148.755717,12.400000000000091
08-18-2017,4130.440067,1295.8,1,-198.2856499999998,10.649999999999864
08-19-2017,4104.71,1295.8,0,-25.730067000000417,0.0
08-20-2017,4157.958033,1295.8,0,53.24803299999985,0.0
08-21-2017,4043.722,1292.9,1,-114.23603299999968,-2.8999999999998636
08-22-2017,3986.28,1284.2,1,-57.44200000000001,-8.700000000000045
08-23-2017,4174.95,1286.65,1,188.66999999999962,2.4500000000000455
08-24-2017,4340.3167170000015,1289.0,1,165.3667170000017,2.349999999999909
08-25-2017,4331.77,1285.3,1,-8.546717000001081,-3.7000000000000455
08-26-2017,4360.513317,1285.3,0,28.74331699999948,0.0
08-27-2017,4354.308333,1285.3,0,-6.204983999999968,0.0
08-28-2017,4339.05,1285.3,0,-15.258332999999766,0.0
08-29-2017,4607.98545,1318.65,1,268.93544999999995,33.350000000000136
08-30-2017,4594.98785,1308.5,1,-12.997599999999693,-10.150000000000091
08-31-2017,4582.52,1311.75,1,-12.467849999999999,3.25
09-01-2017,4911.740017,1320.4,1,329.22001699999964,8.650000000000091
09-02-2017,4580.3874799999985,1320.4,0,-331.3525370000016,0.0
09-03-2017,4585.57,1320.4,0,5.182520000001205,0.0
09-04-2017,4344.098317,1333.1,1,-241.47168299999976,12.699999999999818
09-05-2017,4488.7201399999985,1335.55,1,144.62182299999859,2.4500000000000455
09-06-2017,4385.02,1337.85,1,-103.7001399999981,2.2999999999999545
09-07-2017,4654.6585,1343.5,1,269.6384999999991,5.650000000000091
09-08-2017,4310.750183,1346.25,1,-343.90831699999944,2.75
09-09-2017,4312.26,1346.25,0,1.5098170000001119,0.0
09-10-2017,4329.955,1346.25,0,17.69499999999971,0.0
09-11-2017,4248.090017,1334.2,1,-81.86498299999948,-12.049999999999955
09-12-2017,4198.59,1326.5,1,-49.5000170000003,-7.7000000000000455
09-13-2017,3961.271267,1327.55,1,-237.31873300000007,1.0499999999999545
09-14-2017,3319.63,1324.55,1,-641.641267,-3.0
09-15-2017,3216.43,1322.85,1,-103.20000000000027,-1.7000000000000455
09-16-2017,3763.62604,1322.85,0,547.1960400000003,0.0
09-17-2017,3746.060783,1322.85,0,-17.5652570000002,0.0
09-18-2017,3678.53,1312.1,1,-67.5307829999997,-10.75
09-19-2017,3943.413333,1309.6,1,264.88333299999977,-2.5
09-20-2017,3977.561667,1311.3,1,34.14833399999998,1.7000000000000455
09-21-2017,3894.48,1292.1,1,-83.08166699999992,-19.200000000000045
09-22-2017,3637.50255,1294.8,1,-256.97744999999986,2.7000000000000455
09-23-2017,3776.3869,1294.8,0,138.8843499999998,0.0
09-24-2017,3777.62,1294.8,0,1.2330999999999221,0.0
09-25-2017,3942.555,1293.3,1,164.93499999999995,-1.5
09-26-2017,3910.307383,1300.05,1,-32.24761699999999,6.75
09-27-2017,3881.0,1282.55,1,-29.307382999999845,-17.5
09-28-2017,4201.98905,1283.35,1,320.98905000000013,0.7999999999999545
09-29-2017,4193.574667,1283.1,1,-8.41438300000027,-0.25
09-30-2017,4164.27,1283.1,0,-29.304666999999426,0.0
10-01-2017,4360.7229670000015,1283.1,0,196.45296700000108,0.0
10-02-2017,4386.88375,1273.7,1,26.160782999998446,-9.399999999999864
10-03-2017,4394.07,1271.25,1,7.186249999999745,-2.4500000000000455
10-04-2017,4225.175,1274.25,1,-168.89499999999953,3.0
10-05-2017,4338.852,1274.5,1,113.67699999999968,0.25
10-06-2017,4318.58,1261.8,1,-20.271999999999935,-12.700000000000045
10-07-2017,4376.191667,1261.8,0,57.611667000000125,0.0
10-08-2017,4602.2808829999985,1261.8,0,226.0892159999985,0.0
10-09-2017,4605.66,1278.75,1,3.3791170000013153,16.950000000000045
10-10-2017,4782.28,1291.4,1,176.6199999999999,12.650000000000091
10-11-2017,4819.485767,1289.25,1,37.20576700000038,-2.150000000000091
10-12-2017,4822.17,1290.25,1,2.6842329999999492,1.0
10-13-2017,5563.806567000001,1299.6,1,741.6365670000014,9.349999999999909
10-14-2017,5739.438733,1299.6,0,175.6321659999985,0.0
10-15-2017,5825.99,1299.6,0,86.55126699999983,0.0
10-16-2017,5711.205867000002,1303.3,1,-114.78413299999738,3.7000000000000455
10-17-2017,5603.7129399999985,1284.75,1,-107.49292700000387,-18.549999999999955
10-18-2017,5594.66,1280.2,1,-9.05293999999867,-4.5499999999999545
10-19-2017,5727.6335,1286.4,1,132.97350000000006,6.2000000000000455
10-20-2017,5979.45984,1281.2,1,251.82634000000053,-5.2000000000000455
