Date,BitCoin,Gold,Flag
06-26-2017,2502.03,1245.25,1
06-27-2017,2517.903114,1249.55,1
06-28-2017,2585.349186,1248.0,1
06-29-2017,2558.3,1243.5,1
06-30-2017,2477.641375,1242.25,1
07-01-2017,2501.191343,1242.25,0
07-02-2017,2421.26,1242.25,0
07-03-2017,2561.225429,1229.25,1
07-04-2017,2599.7298379999997,1223.75,1
07-05-2017,2598.89,1220.3,1
07-06-2017,2609.96775,1224.9,1
07-07-2017,2491.201214,1215.65,1
07-08-2017,2502.86,1215.65,0
07-09-2017,2536.238938,1215.65,0
07-10-2017,2366.170143,1211.9,1
07-11-2017,2327.09,1211.05,1
07-12-2017,2385.748571,1218.8,1
07-13-2017,2354.783417,1218.9,1
07-14-2017,2338.49,1230.3,1
07-15-2017,2058.9956,1230.3,0
07-16-2017,1931.2143,1230.3,0
07-17-2017,1910.96,1234.1,1
07-18-2017,2320.12225,1240.75,1
07-19-2017,2264.7657,1242.15,1
07-20-2017,2265.21,1238.7,1
07-21-2017,2682.195363,1248.55,1
07-22-2017,2807.609857,1248.55,0
07-23-2017,2825.51,1248.55,0
07-24-2017,2751.8210289999997,1255.55,1
07-25-2017,2560.997917,1254.4,1
07-26-2017,2564.3,1248.1,1
07-27-2017,2647.625,1261.1,1
07-28-2017,2781.636583,1264.9,1
07-29-2017,2784.8,1264.9,0
07-30-2017,2745.955417,1264.9,0
07-31-2017,2866.431667000001,1267.55,1
08-01-2017,2862.9,1270.95,1
08-02-2017,2693.6339829999997,1269.6,1
08-03-2017,2794.117717,1268.1,1
08-04-2017,2790.0,1257.7,1
08-05-2017,3218.115017,1257.7,0
08-06-2017,3252.562533,1257.7,0
08-07-2017,3210.2,1258.0,1
08-08-2017,3457.3743329999998,1261.8,1
08-09-2017,3357.326317,1271.05,1
08-10-2017,3340.28,1284.4,1
08-11-2017,3632.506667,1286.1,1
08-12-2017,3852.802914,1286.1,0
08-13-2017,3868.52,1286.1,0
08-14-2017,4282.992,1282.3,1
08-15-2017,4217.028329,1270.3,1
08-16-2017,4179.97,1272.75,1
08-17-2017,4328.725717,1285.15,1
08-18-2017,4130.440067,1295.8,1
08-19-2017,4104.71,1295.8,0
08-20-2017,4157.958033,1295.8,0
08-21-2017,4043.722,1292.9,1
08-22-2017,3986.28,1284.2,1
08-23-2017,4174.95,1286.65,1
08-24-2017,4340.3167170000015,1289.0,1
08-25-2017,4331.77,1285.3,1
08-26-2017,4360.513317,1285.3,0
08-27-2017,4354.308333,1285.3,0
08-28-2017,4339.05,1285.3,0
08-29-2017,4607.98545,1318.65,1
08-30-2017,4594.98785,1308.5,1
08-31-2017,4582.52,1311.75,1
09-01-2017,4911.740017,1320.4,1
09-02-2017,4580.3874799999985,1320.4,0
09-03-2017,4585.57,1320.4,0
09-04-2017,4344.098317,1333.1,1
09-05-2017,4488.7201399999985,1335.55,1
09-06-2017,4385.02,1337.85,1
09-07-2017,4654.6585,1343.5,1
09-08-2017,4310.750183,1346.25,1
09-09-2017,4312.26,1346.25,0
09-10-2017,4329.955,1346.25,0
09-11-2017,4248.090017,1334.2,1
09-12-2017,4198.59,1326.5,1
09-13-2017,3961.271267,1327.55,1
09-14-2017,3319.63,1324.55,1
09-15-2017,3216.43,1322.85,1
09-16-2017,3763.6260399999996,1322.85,0
09-17-2017,3746.060783,1322.85,0
09-18-2017,3678.53,1312.1,1
09-19-2017,3943.413333,1309.6,1
09-20-2017,3977.5616670000004,1311.3,1
09-21-2017,3894.48,1292.1,1
09-22-2017,3637.50255,1294.8,1
09-23-2017,3776.3869,1294.8,0
09-24-2017,3777.62,1294.8,0
09-25-2017,3942.555,1293.3,1
09-26-2017,3910.307383,1300.05,1
09-27-2017,3881.0,1282.55,1
09-28-2017,4201.98905,1283.35,1
09-29-2017,4193.574667,1283.1,1
09-30-2017,4164.27,1283.1,0
10-01-2017,4360.7229670000015,1283.1,0
10-02-2017,4386.88375,1273.7,1
10-03-2017,4394.07,1271.25,1
10-04-2017,4225.175,1274.25,1
10-05-2017,4338.852,1274.5,1
10-06-2017,4318.58,1261.8,1
10-07-2017,4376.191667,1261.8,0
10-08-2017,4602.2808829999985,1261.8,0
10-09-2017,4605.66,1278.75,1
10-10-2017,4782.28,1291.4,1
10-11-2017,4819.485767,1289.25,1
10-12-2017,4822.17,1290.25,1
10-13-2017,5563.806567000001,1299.6,1
10-14-2017,5739.438733,1299.6,0
10-15-2017,5825.99,1299.6,0
10-16-2017,5711.205867000002,1303.3,1
10-17-2017,5603.7129399999985,1284.75,1
10-18-2017,5594.66,1280.2,1
10-19-2017,5727.6335,1286.4,1
10-20-2017,5979.4598399999995,1281.2,1
10-21-2017,5986.44,1281.2,0
10-22-2017,5983.18455,1281.2,0
10-23-2017,5876.079867,1274.9,1
10-24-2017,5900.59,1276.45,1
10-25-2017,5669.622533,1275.0,1
10-26-2017,5893.138417,1273.75,1
10-27-2017,5889.82,1266.45,1
10-28-2017,5776.69695,1266.45,0
10-29-2017,6155.434020000002,1266.45,0
10-30-2017,6136.49,1272.0,1
10-31-2017,6388.645167000002,1270.15,1
11-01-2017,6665.306683,1277.05,1
11-02-2017,6751.98,1279.2,1
11-03-2017,7197.72006,1267.2,1
11-04-2017,7437.543317000002,1267.2,0
11-05-2017,7365.99,1267.2,0
11-06-2017,6989.071667,1270.9,1
11-07-2017,7092.127233,1275.6,1
11-08-2017,7128.64,1284.0,1
11-09-2017,7158.03706,1284.8,1
11-10-2017,6719.39785,1284.3,1
11-11-2017,6569.22,1284.3,0
11-12-2017,5716.3015829999995,1284.3,0
11-13-2017,6550.227533,1277.95,1
11-14-2017,6493.63,1274.6,1
11-15-2017,7301.4299200000005,1282.2,1
11-16-2017,7815.0307,1280.0,1
11-17-2017,7868.77,1284.35,1
11-18-2017,7817.140383,1284.35,0
11-19-2017,8007.654067,1284.35,0
11-20-2017,8049.72,1286.2,1
11-21-2017,8059.8,1283.3,1
11-22-2017,8268.035,1286.95,1
11-23-2017,8236.72,1290.35,1
11-24-2017,8250.978333,1290.5,1
11-25-2017,8707.407267,1290.5,0
11-26-2017,8768.8,1290.5,0
11-27-2017,9718.29505,1294.9,1
11-28-2017,9952.508820000001,1291.85,1
11-29-2017,9919.0,1283.85,1
11-30-2017,10147.372,1280.2,1
12-01-2017,10883.912,1275.5,1
12-02-2017,10879.88,1275.5,0
12-03-2017,11332.622,1275.5,0
12-04-2017,11584.83,1273.45,1
12-05-2017,11591.22,1266.3,1
12-06-2017,13540.98,1263.7,1
12-07-2017,16501.97167,1255.0,1
12-08-2017,16860.88,1250.65,1
12-09-2017,15142.83415,1250.65,0
12-10-2017,14869.805,1250.65,0
12-11-2017,15068.95,1247.15,1
12-12-2017,17276.393330000006,1240.9,1
12-13-2017,16808.36667,1242.65,1
12-14-2017,16252.31,1251.0,1
12-15-2017,17771.9,1254.6,1
12-16-2017,19498.68333,1254.6,0
12-17-2017,19279.9,1254.6,0
12-18-2017,18961.856669999997,1260.6,1
12-19-2017,17737.11167,1260.35,1
12-20-2017,17382.94,1264.55,1
12-21-2017,16047.51,1264.55,1
12-22-2017,15190.945,1264.55,0
12-23-2017,13776.61,1264.55,0
12-24-2017,13949.175,1264.55,0
12-25-2017,14119.028330000001,1264.55,0
12-26-2017,13740.94,1264.55,0
12-27-2017,15589.32167,1279.4,1
12-28-2017,14380.58167,1291.0,1
12-29-2017,14214.01,1291.0,0
12-30-2017,13215.573999999999,1291.0,0
12-31-2017,14165.575,1291.0,0
01-01-2018,13796.0,1291.0,0
01-02-2018,15005.85667,1312.05,1
01-03-2018,15053.261669999998,1314.9,1
01-04-2018,15039.24,1314.5,1
01-05-2018,17174.12,1317.15,1
01-06-2018,17319.198,1317.15,0
01-07-2018,17155.95,1317.15,0
01-08-2018,15265.906669999995,1319.95,1
01-09-2018,14714.253330000001,1311.0,1
01-10-2018,14437.42,1319.75,1
01-11-2018,13296.794,1323.05,1
01-12-2018,13912.882,1326.8,1
01-13-2018,13791.19,1326.8,0
01-14-2018,13852.92,1326.8,0
01-15-2018,14012.196000000002,1339.25,1
01-16-2018,13554.14,1333.85,1
01-17-2018,11116.946670000001,1335.65,1
01-18-2018,11345.42333,1332.2,1
01-19-2018,11174.82,1334.95,1
01-20-2018,12950.79333,1334.95,0
01-21-2018,11505.228000000001,1334.95,0
01-22-2018,11513.42,1332.6,1
01-23-2018,11223.063999999995,1333.4,1
01-24-2018,11282.25833,1353.7,1
01-25-2018,11392.03,1354.95,1
01-26-2018,10969.815,1353.15,1
01-27-2018,11524.776670000001,1353.15,0
01-28-2018,11431.37,1353.15,0
01-29-2018,11212.655,1343.85,1
01-30-2018,10184.061670000001,1344.9,1
01-31-2018,10082.52,1345.05,1
02-01-2018,9083.258333,1341.35,1
02-02-2018,8901.901667,1331.15,1
02-03-2018,8852.73,1331.15,0
02-04-2018,8400.648333,1331.15,0
02-05-2018,6838.816667,1333.6,1
02-06-2018,6925.46,1331.4,1
02-07-2018,8099.958333,1324.65,1
02-08-2018,8240.536667,1315.45,1
02-09-2018,8245.08,1314.1,1
02-10-2018,8319.876565999999,1314.1,0
02-11-2018,8343.455,1314.1,0
02-12-2018,8068.02,1322.3,1
02-13-2018,8597.7675,1325.35,1
02-14-2018,9334.633333,1336.25,1
02-15-2018,9471.64,1352.45,1
02-16-2018,10127.16167,1352.1,1
02-17-2018,10841.99167,1352.1,0
02-18-2018,11085.83,1352.1,0
02-19-2018,11110.965,1346.6,1
02-20-2018,11390.39167,1339.85,1
02-21-2018,11245.98,1330.5,1
02-22-2018,9931.071667,1328.35,1
02-23-2018,10162.11667,1327.95,1
02-24-2018,10171.3,1327.95,0
02-25-2018,9696.593333,1327.95,0
02-26-2018,10348.60333,1333.5,1
02-27-2018,10319.46,1325.75,1
02-28-2018,10370.165,1317.85,1
03-01-2018,11009.38167,1307.75,1
03-02-2018,10931.12,1322.3,1
03-03-2018,11326.94833,1322.3,0
03-04-2018,11430.18167,1322.3,0
03-05-2018,11516.83,1320.4,1
03-06-2018,10763.19833,1331.4,1
03-07-2018,10118.058,1329.4,1
03-08-2018,9920.46,1321.0,1
03-09-2018,9089.278333,1320.6,1
03-10-2018,8746.002,1320.6,0
03-11-2018,8777.37,1320.6,0
03-12-2018,9182.843333,1319.15,1
03-13-2018,9154.7,1322.75,1
03-14-2018,9153.54,1323.55,1
03-15-2018,8358.121667,1318.75,1
03-16-2018,8530.402,1310.1,1
03-17-2018,8297.89,1310.1,0
03-18-2018,8171.415,1310.1,0
03-19-2018,8412.033333,1312.4,1
03-20-2018,8605.64,1311.0,1
03-21-2018,8947.753333,1321.35,1
03-22-2018,8690.408333,1329.15,1
03-23-2018,8725.37,1346.6,1
03-24-2018,8662.378333,1346.6,0
03-25-2018,8617.296667,1346.6,0
03-26-2018,8457.96,1352.4,1
03-27-2018,7876.195,1341.45,1
03-28-2018,7960.38,1332.45,1
03-29-2018,7950.61,1323.85,1
03-30-2018,6882.531667,1323.85,0
03-31-2018,6935.48,1323.85,0
04-01-2018,6937.56,1323.85,0
04-02-2018,7035.848333,1323.85,0
04-03-2018,7410.435,1333.45,1
04-04-2018,7426.48,1337.3,1
04-05-2018,6826.51,1327.7,1
04-06-2018,6603.876667,1331.2,1
04-07-2018,6634.68,1331.2,0
04-08-2018,7017.656667,1331.2,0
04-09-2018,6699.273333,1331.95,1
04-10-2018,6784.41,1338.95,1
04-11-2018,6926.266667,1350.75,1
04-12-2018,7847.845,1341.35,1
04-13-2018,7941.46,1343.7,1
04-14-2018,8036.511051,1343.7,0
04-15-2018,8340.748333,1343.7,0
04-16-2018,8368.1,1349.35,1
04-17-2018,7895.416926000001,1342.1,1
04-18-2018,8164.937426,1351.45,1
04-19-2018,8175.96,1348.6,1
04-20-2018,8852.718333,1336.75,1
04-21-2018,8807.205,1336.75,0
04-22-2018,8930.6,1336.75,0
04-23-2018,8933.861667000001,1324.3,1
04-24-2018,9555.542,1328.85,1
04-25-2018,9658.11,1321.65,1
04-26-2018,9258.398333,1320.7,1
04-27-2018,9010.32,1321.5,1
04-28-2018,8928.55,1321.5,0
04-29-2018,9334.281667,1321.5,0
04-30-2018,9259.57,1313.2,1
05-01-2018,9239.55,1307.1,1
05-02-2018,9221.426,1304.2,1
05-03-2018,9639.268333,1315.05,1
05-04-2018,9753.35,1309.4,1
05-05-2018,9803.306667,1309.4,0
05-06-2018,9630.136277,1309.4,0
05-07-2018,9631.44,1309.4,0
05-08-2018,9228.608333,1306.6,1
05-09-2018,9322.041667,1313.85,1
05-10-2018,9310.37,1318.8,1
05-11-2018,8468.788,1324.35,1
05-12-2018,8484.346667,1324.35,0
05-13-2018,8463.52,1324.35,0
05-14-2018,8652.038333,1319.85,1
05-15-2018,8511.458,1295.0,1
05-16-2018,8471.06,1291.25,1
05-17-2018,8106.118332999998,1289.5,1
05-18-2018,8240.055,1288.3,1
05-19-2018,8239.08,1288.3,0
05-20-2018,8507.406667,1288.3,0
05-21-2018,8385.556187,1288.35,1
05-22-2018,8396.63,1293.05,1
05-23-2018,7555.74,1289.0,1
05-24-2018,7566.193333,1304.85,1
05-25-2018,7576.78,1303.5,1
05-26-2018,7342.908332999998,1303.5,0
05-27-2018,7361.831667,1303.5,0
05-28-2018,7344.56,1303.5,0
05-29-2018,7459.876667,1295.5,1
05-30-2018,7385.395,1300.7,1
05-31-2018,7386.72,1305.35,1
06-01-2018,7535.146667,1294.6,1
06-02-2018,7645.146667,1294.6,0
06-03-2018,7637.14,1294.6,0
06-04-2018,7500.273333,1295.45,1
06-05-2018,7615.7221420000005,1292.05,1
06-06-2018,7619.43,1300.1,1
06-07-2018,7676.271667,1297.25,1
06-08-2018,7620.153333,1298.25,1
06-09-2018,7615.54,1298.25,0
06-10-2018,6776.888333,1298.25,0
06-11-2018,6875.678333,1299.6,1
06-12-2018,6879.31,1298.65,1
06-13-2018,6315.7,1296.15,1
06-14-2018,6647.013333,1302.75,1
06-15-2018,6637.41,1285.25,1
06-16-2018,6509.426667,1285.25,0
06-17-2018,6464.411667,1285.25,0
06-18-2018,6445.79,1281.55,1
06-19-2018,6737.0,1276.15,1
06-20-2018,6714.718333,1274.2,1
06-21-2018,6760.83,1266.15,1
06-22-2018,6332.573333,1269.15,1
06-23-2018,6141.605833,1269.15,0
06-24-2018,6170.46,1269.15,0
06-25-2018,6211.4475,1268.7,1
06-26-2018,6218.595,1260.3,1
06-27-2018,6097.46,1254.6,1
06-28-2018,6107.896154,1251.55,1
06-29-2018,5908.7025,1250.45,1
06-30-2018,6223.28,1250.45,0
07-01-2018,6374.754167,1250.45,0
07-02-2018,6466.069167000002,1247.8,1
07-03-2018,6626.44,1251.75,1
07-04-2018,6593.289167,1255.65,1
07-05-2018,6603.376667,1255.5,1
07-06-2018,6555.51,1255.35,1
07-07-2018,6594.281667,1255.35,0
07-08-2018,6753.559167,1255.35,0
07-09-2018,6724.04,1262.05,1
07-10-2018,6510.791667,1254.0,1
07-11-2018,6377.363333,1251.4,1
07-12-2018,6403.18,1245.9,1
07-13-2018,6244.3575,1241.7,1
07-14-2018,6241.0,1241.7,0
07-15-2018,6248.84,1241.7,0
07-16-2018,6514.3908329999995,1241.1,1
07-17-2018,6869.910833,1232.8,1
07-18-2018,7321.62,1224.5,1
07-19-2018,7396.401667,1217.55,1
07-20-2018,7428.045,1228.75,1
07-21-2018,7334.99,1228.75,0
07-22-2018,7451.289167,1228.75,0
07-23-2018,7689.884167,1224.95,1
07-24-2018,7715.1,1228.35,1
07-25-2018,8251.165,1231.5,1
07-26-2018,8187.324167,1228.25,1
07-27-2018,7939.81,1223.95,1
07-28-2018,8182.251667,1223.95,0
07-29-2018,8206.341667,1223.95,0
07-30-2018,8220.91,1223.8,1
07-31-2018,7916.800833,1220.95,1
08-01-2018,7570.869167,1219.0,1
08-02-2018,7607.7,1215.45,1
08-03-2018,7394.499167,1216.3,1
08-04-2018,7247.769167,1216.3,0
08-05-2018,7011.28,1216.3,0
08-06-2018,6988.079167,1209.65,1
08-07-2018,6993.513333,1212.35,1
08-08-2018,6718.23,1209.55,1
08-09-2018,6396.7725,1214.35,1
08-10-2018,6396.494667,1214.4,1
08-11-2018,6138.96,1214.4,0
08-12-2018,6311.131667000002,1214.4,0
08-13-2018,6347.07,1200.35,1
08-14-2018,6252.13,1197.0,1
08-15-2018,6362.676923,1182.0,1
08-16-2018,6342.629231,1180.4,1
08-17-2018,6312.75,1178.4,1
08-18-2018,6436.7208329999985,1178.4,0
08-19-2018,6404.063333,1178.4,0
08-20-2018,6486.58,1184.35,1
08-21-2018,6401.2461539999995,1190.95,1
08-22-2018,6575.229167,1196.65,1
08-23-2018,6354.57,1192.35,1
08-24-2018,6543.645714,1197.7,1
08-25-2018,6719.429231,1197.7,0
08-26-2018,6738.27,1197.7,0
08-27-2018,6719.266154000001,1197.7,0
